rank,artist,track,topic
2,Queens of the Stone Age,The Blood Is Love,-1
3,Death from Above 1979,Turn It Out,0
4,Death from Above 1979,NVR 4EVR,-1
5,Death from Above 1979,Going Steady,0
6,Alice in Chains,Would?,0
7,Death from Above 1979,Sexy Results,-1
8,Queens of the Stone Age,Misfit Love,0
12,Them Crooked Vultures,Spinning in Daffodils,0
13,Death from Above 1979,Nomad,2
15,Death from Above 1979,White Is Red,0
16,Alice in Chains,No Excuses,0
17,Jack White,Hypocritical Kiss,-1
18,Queens of the Stone Age,I Sat by the Ocean,0
19,Jamiroquai,Cloud 9,0
20,Tool,Parabola,-1
21,Reignwolf,Alligator,0
22,The Cult,Phoenix,-1
23,The Heavy Eyes,Old Saltillo Road,0
24,Queens of the Stone Age,In My Head,0
25,INXS,Need You Tonight,0
26,U2,I Still Haven't Found What I'm Looking For,0
27,Desert Sessions,Crawl Home,0
28,Queens of the Stone Age,Go With the Flow,0
29,Mad Season,Wake Up,-1
31,Them Crooked Vultures,Gunman,0
32,Eagles of Death Metal,Anything 'Cept The Truth,0
33,Eagles of Death Metal,Complexity,-1
34,Queens of the Stone Age,Better Living Through Chemistry,0
35,Alice in Chains,I Stay Away,0
36,Led Zeppelin,When the Levee Breaks,0
37,Depeche Mode,I Feel You,0
39,The Cult,Big Neon Glitter,0
40,The Police,Every Little Thing She Does Is Magic,-1
41,Them Crooked Vultures,Bandoliers,0
42,Queens of the Stone Age,3's & 7's,0
43,Interpol,The Rover,0
44,Alice in Chains,Rotten Apple,0
45,Beastie Boys,Jimmy James,0
46,The Cult,Black Sun,-1
47,U2,All I Want Is You,0
48,Nine Inch Nails,Only,0
49,Led Zeppelin,Trampled Under Foot,0
50,Van Halen,I'll Wait,-1
51,Death from Above 1979,Pull Out,0
52,Duran Duran,Save a Prayer,-1
53,Queens of the Stone Age,Long Slow Goodbye,0
54,Dave Grohl,Mantra,0
55,Eagles of Death Metal,Cheap Thrills,0
56,Mad Season,X-Ray Mind,0
58,Queens of the Stone Age,You Can't Quit Me Baby,0
60,The Fixx,One Thing Leads To Another,-1
61,Ian Astbury,High Time Amplifier,0
64,Death from Above 1979,Romantic Rights,-1
65,Beck,Hell Yes,0
66,Jack White,Sixteen Saltines,-1
67,Queens of the Stone Age,"Sick, Sick, Sick",0
68,Van Halen,Girl Gone Bad,0
71,Screaming Trees,Nearly Lost You,0
72,The Black Angels,Science Killer,0
73,The Dead Weather,I Feel Love (Every Million Miles),0
74,Desert Sessions,In My Head...Or Something,0
75,Eagles of Death Metal,Careless Whisper,0
76,Primus,Jerry Was a Race Car Driver,-1
77,Queens of the Stone Age,Make It Wit Chu,0
78,The White Stripes,Blue Orchid,-1
79,Beastie Boys,Too Many Rappers,-1
80,UNKLE,Restless (Featuring Josh Homme),0
81,Jack White,Lazaretto,0
82,Jane's Addiction,Just Because,-1
83,Ozzy Osbourne,Shot in the Dark,0
84,Queens of the Stone Age,Into the Hollow,-1
85,Queens of the Stone Age,Un-Reborn Again,0
86,Jamiroquai,Automaton,0
87,Queens of the Stone Age,The Bronze,0
88,Snow Patrol,Shut Your Eyes,-1
89,The Black Keys,Do the Rump,0
90,deadmau5,Drama Free,0
91,Desert Sessions,I Wanna Make It Wit Chu,0
93,Radiohead,Optimistic,0
95,The Black Keys,Leavin' Trunk,0
96,The Cult,Saints Are Down,0
97,Alice in Chains,What The Hell Have I,0
99,Duran Duran,New Moon On Monday,0
101,The Black Keys,Good Love (feat. Billy F Gibbons),-1
103,De La Soul,Breakadawn,0
104,Radiohead,"There, There",0
105,The Black Keys,Sinister Kid,0
106,Alice in Chains,Dam That River,0
108,Death from Above 1979,"Go Home, Get Down",0
110,The Dead Weather,I Cut Like a Buffalo,0
111,Death from Above 1979,Do It!,-1
112,Radiohead,15 Step,0
113,The Cult,Brother Wolf; Sister Moon,0
114,The Cult,If,0
115,Alice in Chains,Put You Down,0
116,Queen,Another One Bites the Dust,-1
117,Silversun Pickups,Lazy Eye,0
118,The Cult,The Witch,0
119,Van Halen,House Of Pain,0
121,Johnny Cash,One,3
122,Nine Inch Nails,Head Down,0
123,The Black Angels,You on the Run,0
124,The Black Keys,She's Long Gone,-1
125,The Jon Spencer Blues Explosion,Lovin' Machine,0
126,The Mars Volta,L'Via L'Viaquez,0
128,Band of Horses,The Funeral,0
129,Beastie Boys,Nonstop Disco Powerpack,0
130,Billy Idol,Eyes Without a Face,0
131,Khruangbin,Texas Sun,1
132,Soundgarden,Room a Thousand Years Wide,0
133,The Black Keys,The Desperate Man,0
134,The Police,Synchronicity I,-1
135,The White Stripes,Catch Hell Blues,0
136,Wolfmother,Dimension,0
137,Amy Winehouse,In My Bed,0
138,Death from Above 1979,"You're a Woman, I'm a Machine",0
141,Radiohead,House of Cards,0
142,The Dead Weather,Hustle and Cuss,-1
143,Amy Winehouse,Back to Black,0
144,Beastie Boys,Don't Play No Game That I Can't Win,0
145,Death from Above 1979,Crystal Ball,0
146,Def Leppard,Photograph,-1
148,Jack White,Love Is Blindness,-1
150,Soundgarden,Fell on Black Days,0
151,Tool,Forty Six & 2,0
152,Alice in Chains,Dirt,-1
153,Alice in Chains,Them Bones,0
154,Band of Horses,No One's Gonna Love You,0
156,Ozzy Osbourne,Crazy Train,0
157,Radiohead,Backdrifts,0
